label,sentences
sadness,"ये-ये-ये, हाँ मैं करता हूँ!"
joy,"अब यहाँ से बाहर जाओ, तुम!"
neutral,हाय बॉब.
joy,अरे! मेरे दोस्त टॉबी आज कैसे कर रहा है?
neutral,अगर मैं उसे देखता हूँ तो पूछता हूँ।
joy,टॉबी!
neutral,तो आप एक-दूसरे को जानते हैं।
neutral,हम अर्धनाम आधार पर हैं।
neutral,आप हमारे टीम में उसे जोड़ने के बारे में क्या सोचते हैं?
surprise,"बॉब? ओह, हमारे साथ यहाँ काम कर रहे हैं? हर दिन? हाँ, मैं नहीं जानता है अगर वह क्या लेता है."
surprise,सचमुच? वे उसे छह पर नीचे प्यार करते हैं.
neutral,लेकिन यह ग्यारह है। यह यहाँ लगभग दोगुना मुश्किल है।
joy,Hey! मैं आपके विवाह के लिए क्या मिला है अनुमान लगाओ!
neutral,अपने सिर के लिए एक बंधक के साथ एक अजीब-सी पतली डेट?
joy,"नहीं. राहेल मुझे एक टक्स के साथ hooked किया! लेकिन सिर्फ कोई टक्स नहीं, बेटम के टक्स!"
surprise,क्या?
joy,ठीक है! वैल किल्मेर के लिए निर्दिष्ट रूप से बनाया गया और उनके द्वारा हिट फिल्म में पहना गया... कि बेटम फिल्म में वह था.
anger,तुम उसे नहीं पहन सकते! मैं प्रसिद्ध टक्स पहन रहा हूँ! जेम्स बॉंड की टक्स!
neutral,तो?
sadness,तो-यदि आप इसे पहनते हैं तो आप मेरा कम विशेष बना देंगे।
anger,"क्षमा करें, मैं सिर्फ इस विचार को पसंद नहीं करता जब मैं कहता हूँ, ""मैं करता हूँ,"" वह सोच रहा है, ""हाँ, मैं भी उसे करता हूँ!"""
neutral,अच्छा तो हम अभी भी एक समस्या है।
neutral,हाँ!
neutral,किसके साथ?
neutral,"ठीक है, हम किसी को अपने विवाह का प्रदर्शन करने के लिए ढूंढने की कोशिश कर रहे हैं और वे सब या तो कंटाही या परेशानी या तुम्हें पता है, महिलाओं को देखना बंद नहीं कर सकता है।"
joy,आप हममें से एक को यह करना चाहिए!
neutral,"Phoebe, हम मिल रहे हैं"
joy,नहीं! नहीं! यह-यह uh एक वास्तविक बात है! कोई भी इंटरनेट पर ordained हो सकता है और वैवाहिक समारोहों और सामान की तरह प्रदर्शन कर सकते हैं!
joy,मैं इसे कहता हूँ!
anger,क्या! नहीं! यह मेरे विचार था!
neutral,लड़कों बहुत धन्यवाद लेकिन आप में से कोई भी हम से शादी नहीं कर रहा है।
anger,क्या इसे बुलाना अब कुछ भी नहीं है?
neutral,"हम एक विधिवत सदस्य के पुरोहित होने के लिए जा रहे हैं! और जब मैं विधिवत कहता हूँ मेरा मतलब है, Gay और उसके श्लेष्मा के नियंत्रण में!"
joy,"देखो, मैं देखता हूँ.... आपके भविष्य में बड़ा उत्साह."
neutral,मैं करता हूँ।
joy,"ओह रॉस, तुम बहुत महान हो। [उसने खेलते हुए उसके सिर हिलाता है और उठता है]"
neutral,"यह एक अच्छी बात होना चाहिए था, मैं क्यों भूल गया था।"
neutral,"सिर्फ सुनो, मोनिका, मैं, तुम्हें पता है, ठीक है, तुम्हें पता है, मैं लगभग एक महीने के लिए सो नहीं जा सका क्योंकि मैं एक सोफ कोशों में एक बिंदु की तरह स्याही मिल गया था."
neutral,"अच्छी तरह से, आप-आप सिर्फ कुशीन को ऊपर कर सकते थे।"
neutral,"हाँ, मैं होगा मगर मैं एक बड़ा स्पैगैटी दाग दूसरी ओर था।"
surprise,क्या?!
neutral,"ठीक है, इस बारे में मैं क्या बात कर रहा हूँ, यह है. मैं एक भूमि में रहने की जरूरत है जहां लोग छिड़का सकते हैं."
neutral,आप spill कर सकते हैं. सिंक में.
sadness,"ओह, प्यारी यह तुम्हारी गलती नहीं है, तुम जानते हो यह है जो तुम हो, और मैं तुम्हें प्यार करता हूँ, और मैं हम दोस्त बनना चाहता हूँ, और अगर मैं यहाँ रह रहा हूँ तो मैं ऐसा नहीं देखता होता है।"
joy,मैं भी तुम्हें प्यार करता हूँ।
joy,"ओह, अच्छा. क्या?"
sadness,क्या? मैं सिर्फ कहा गया हूँ.
neutral,"नहीं, आप नहीं कर रहे हैं, आप सोच रहे हैं कि यह किस चश्मा है।"
surprise,ऐ मेरे भगवान! क्या आप गंभीर हैं!
joy,मैं आप के साथ रहने के लिए प्यार करता हूँ रॉस.. यह-यह महान है! धन्यवाद!
neutral,"ठीक है, मैं हूँ-मैं सिर्फ खुश हूँ कि मैं, तुम्हें मदद कर सकता था, पता है।"
joy,"रोस-रोस, तुम नहीं जानते कि यह मेरे लिए क्या मतलब है!"
sadness,"मेरा मतलब है, मेरा मतलब है कि मैं घरहीन होने जा रहा था।"
joy,तुमने मुझे बचा लिया है!
joy,तुम मेरे नायक हो!
neutral,"हेरो, मैं uh, मैं नहीं जानता-ठीक है, ठीक है।"
joy,"ओह, मुझे मोनिका को बताना है कि उसका क्या अच्छा भाई है!"
joy,"ओह, कृपया! आप बातें अब कह रहे हैं, आप नहीं है?"
neutral,"नहीं, नहीं।"
neutral,"लेकिन मैं आपको यह बताना चाहूंगा, यह बिल्कुल वही बात मेरे कमरे के साथी डेनिस के साथ हुई।"
anger,"वह एक आदमी के साथ चली गई, जो उसके साथ गुप्त रूप से शादी कर रहा था और उसने कहा था कि वह उससे प्यार नहीं करता था, लेकिन वह सचमुच करता था, और यह सिर्फ विस्फोट हो गया!"
anger,"... धिक्कार, लड़की को नियुक्त करें! ठीक है, सभी तैयार हैं?"
joy,"Uh, सुनो, मैं सिर्फ इस महान अवसर के लिए आपको धन्यवाद करना चाहता हूँ।"
neutral,वस्त्र खो दो।
surprise,मैं?
joy,यह बहुत अच्छा है।
neutral,"ठीक है, मैं एक और एसप्रो प्राप्त करने के लिए जा रहा हूँ. मैं तुम्हें एक और लेटी मिल सकता है?"
neutral,"नहीं, नहीं, मैं अभी भी mine पर काम कर रहा हूँ।"
surprise,यही है?
sadness,"हाँ, यह सचमुच कठिन था।"
neutral,"ओह, हाँ, उस उछलने बहुत क्रूर लग रहा था।"
anger,"ठीक है, तुम वहाँ नहीं थे।"
joy,"अरे! यह ah है, यह बहुत अच्छा है!"
neutral,बहुत अच्छा है?
neutral,"आपको मेरे कमरेmate को माफ करना होगा, वह इस से शादी करना चाहता था।"
neutral,"हमारे पास 50 डॉलर नहीं है, लेकिन आप इसके लिए व्यापार करने के लिए तैयार होंगे? हमारे पास एक कैनो है।"
neutral,"आप जानते हैं, मैं, मैं वास्तव में हम एक कैनो की जरूरत नहीं लगता है।"
anger,तुम कैनो ले जाओ!
neutral,"ठीक है, बस, बस मनोरंजन केंद्र ले लो, और फिर जब आप घर पहुँचेंगे, कैनो दूर फेंकें!"
anger,हम इसे फेंक नहीं कर रहे हैं! मैं उस कैनो बनाया है!
anger,आप के लिए अच्छा है!
neutral,फीब्स?
neutral,"ठीक है. तो मुझे लगता है कि यह बस है, यहाँ तो प्रतीक्षा है. मैं येमन के लिए एक झूठा टिकट की जरूरत है."
surprise,येमन के लिए एक टिकट?
neutral,"ओह-नहीं-नहीं, नहीं. नहीं, नहीं, मैं बस, मुझे सिर्फ एक बनावटी टिकट की जरूरत है."
surprise,"मुझे क्षमा है सर, मैं नहीं समझता।"
neutral,आप किसी बच्चे को क्या देंगे यदि वह खेलने के लिए टिकट चाहता है?
neutral,क्या आप बच्चे के साथ यात्रा कर रहे हैं?
neutral,"ठीक है, आप जानते हैं क्या, वह सोच रही है कि मैं आपको एक क्रेडिट कार्ड दे रहा हूँ, लेकिन मैं वास्तव में क्या करने के लिए जा रहा हूँ है एक पुस्तकालय कार्ड आपको दे रहा हूँ।"
neutral,"ठीक है, लेकिन यह अंतिम बार है।"
joy,"यहाँ एक chick-chick के साथ, और एक chick-chick वहाँ."
joy,"यहाँ एक chick, वहाँ एक chick, हर जगह एक chick-chick-chickeeeen."
neutral,वह कैसे है?
surprise,वह?
neutral,"ठीक है, हाँ, क्या आप यह एक औरत नहीं लगता है?"
neutral,"मैं नहीं जानता. मैं नहीं कह सकता, क्या कभी यह वापस बहुत तेजी से चला गया था."
neutral,"खैर, वैसे भी, मैं परिवर्तन करने के लिए जाना है, मैं हूँ आह, पेय के लिए कुछ रंगमंच से मिल गया है।"
surprise,क्षमा करें?
joy,"ठीक है, अच्छा है, तो वहाँ तुम जाओ. विन्स के साथ जाओ."
neutral,"हाँ, लेकिन जेसन वास्तव में संवेदनशील है।"
neutral,"अच्छी तरह से संवेदनशील महत्वपूर्ण है, उसे चुनें।"
disgust,"ओह निश्चित है, sissy के साथ जाओ।"
anger,जेसन कोई बेवकूफ नहीं है!
anger,"ओह-नहीं-नहीं-नहीं, मेरा मतलब था चंडलर।"
neutral,"तो uh, लगता है कि लोग यूरोप की कहानी से परिचित हैं?"
neutral,"उस के बारे में सुनो, पूरी uh, जो उस चीज़ के लिए आया वास्तव में कोई बात नहीं है."
neutral,"मेरा मतलब है, मुझे लगता है कि यह दोनों तरह से हो गया होगा।"
neutral,"मेरा मतलब है, अगर आप इसे आरंभ नहीं किया होता तो मैं जानता हूँ मैं होगा।"
joy,यह एक अद्भुत रात थी।
joy,ऐसा था। यह एक अद्भुत रात थी।
sadness,तुम्हें लगता है कि यह अद्भुत लग रहा था?
neutral,क्या हमारे पास अभी कोई नाम है?
neutral,"नहीं, अभी तक नहीं।"
neutral,"यह ठीक है, अब हम सिर्फ उसके Baby Girl ग्रीन कहेंगे।"
neutral,"ओह नहीं, Baby Girl Geller-Green."
joy,"हेलो, प्यारी लड़की।"
joy,"आह, भागने के लिए कोई जगह नहीं!"
anger,मुझे यहाँ बैठना पसंद नहीं है! मैं बस खत्म करने के लिए जा रहा हूँ
anger,नहीं रेशेल! वे पहले यहाँ पहुँचे!
neutral,रोस ऐसा क्यों कर रहा है?
fear,खतरा
surprise,अल्लाह! वह उन महिलाओं पर क्यों चढ़ता है!
neutral,"नहीं, यह ठीक है। इसके बारे में चिंता मत करो।"
disgust,लेकिन देखो! यह एक धब्बा छोड़ने के लिए जा रहा है!
joy,राच! अरे! यह ठीक है! तुम जोय के पास हो!
neutral,देखो!
disgust,इससे पहले मैं ऐसा कभी नहीं रहा हूं।
neutral,"ठीक है, इसे बर्बाद न करें, मैं इसका अभी भी भोजन मतलब है।"
neutral,"Hey Joey, यह बिस्तर है जहाँ ओलिविया ने अपनी कन्यायता खो दी है?"
joy,"मैं नहीं जानता, लेकिन एक अतिरिक्त के निश्चित रूप से किया था! अरे, राच सुनो. मेरी दृश्यों को देखने के लिए नीचे आने के लिए एक बार फिर धन्यवाद!"
surprise,"ओह, कृपया! प्यारा, सिर्फ इस तथ्य की बात है कि आप मुझे यहाँ आप को समर्थन करने के लिए चाहता है, मैं हूँ... ओह मेरा भगवान! कि क्रिश्चियन सैंडर्स है? वह इतना है"
neutral,और भी
neutral,"ओह, मेरे दिमाग में उसने कुछ बहुत ""न-gay-बदनाम"" किया है!"
neutral,"खैर, क्रिसमस पार्टी में वे और Santa निश्चित रूप से कुछ गे बातें कर रहे थे!"
neutral,"ठीक है, आपको यह वायदा करना होगा कि आप कभी नहीं, कभी Ross को बता देंगे कि मैंने आपको बताया था।"
neutral,क्या के बारे में?
neutral,वह आपके जन्मदिन की पार्टी की योजना बना रहा है।
joy,ओह भगवान! मैं उसे प्यार करता हूँ!
fear,आप आश्चर्य से काम करने के लिए बेहतर होगा।
joy,मेरे आश्चर्यपूर्ण पार्टी!
surprise,क्या surprise party?
joy,ओह इसे रोकें. जोए पहले से ही मुझे बताया था.
neutral,"खैर, उसने मुझे नहीं कहा।"
neutral,"अरे, मुझे नहीं देखो. यह रोस की बात है."
anger,यह बहुत सामान्य है। मैं हमेशा सब कुछ जानने वाला अंतिम हूँ।
neutral,"नहीं, तुम नहीं हो. हम तुम्हें बातें कहते हैं."
anger,Yuh-huh!
anger,मैं अंतिम व्यक्ति था जो जानता था जब चिड़ियाघर में चंडलर को मोर ने काट डाला।
anger,मैं अंतिम था जो जानने के लिए जब तुम Joey पर एक प्रेम था जब वह खिसक रहा था।
surprise,लगता है कि मैं अंतिम से दूसरा था.
neutral,"चंडलर, हम अभी भी आपके पिता से एक RSVP नहीं मिला है."
neutral,"ओह! ठीक है. हं, शायद यह इसलिए है कि मैं उसे एक निमंत्रण नहीं भेजा था।"
anger,चंडलर! वह आपका पिता है. वह शादी में होना चाहिए.
disgust,मैं उस आदमी को भी नहीं जानता. ठीक है? हम इतना करीब नहीं हैं. मैं वर्षों में उसे नहीं देखा है.
sadness,अच्छी तरह से तुम क्या करने के लिए जा रहे हैं जब वह पता चलता है कि वह भी नहीं पूछा गया था?!
neutral,यह ऐसा नहीं है जैसे हम एक ही चक्र में चला रहे हैं।
disgust,"मैं आप लोगों के साथ बाहर लगता है, और वेगास में एक ड्रग शो में स्टार है।"
neutral,"ओह, मुझे लगता है कि मैं वृत्तों का व्यापार करना चाहता हूँ।"
disgust,कोई भी लड़की को नहीं देखेगा जब उसके पिता पीठ-रहित पोशाक पहन रहे हैं।
neutral,तो क्या है! जब तक वह एक सफेद पोशाक और एक परदा नहीं पहनता है मैं परवाह नहीं करता.
neutral,"ठीक है, मुझे लगता है कि मुझे कुछ खरीदारी करने की जरूरत है।"
neutral,हैलो! वहाँ कौन है?
neutral,तुम कैसे हो रहे हो?
anger,तुम कौन हो?
neutral,"मुझे लगता है कि आप मुझे नहीं मानेंगे अगर मैं कहता हूँ कि मैं Kurt Douglas हूँ, हू?"
fear,"नहीं-नहीं, राहेल, यह नहीं समझ! वह हमें नहीं देख सकता!"
anger,"नहीं, हाँ! नवयुवक लड़की को नहीं देख सकता है!"
anger,मैं चंडलर से शादी नहीं करूंगा!
anger,इसके बाद नहीं!
neutral,"ठीक है, आप लोग, बस आराम करें. मैं doooo."
neutral,मुझे जाना है।
sadness,"ओह, प्रतीक्षा करो, यहोशू! यहोशू! हाँ, अच्छी तरह से, यह करना चाहिए."
neutral,"खेद है कि मैं देर से आया हूँ, लेकिन मैं देर से चला गया।"
neutral,"तो फीब्स, पुस्तक के बारे में क्या है?"
neutral,मैंने सोचा था कि आपने कहा था कि आप इसे हाई स्कूल में पढ़ते थे।
neutral,"ठीक है, लेकिन फिर मुझे याद आया कि मैंने इसे शुरू किया था और वहाँ एक उत्साह प्रदर्शन था और मैं था, मैं पिरामिड के शीर्ष पर था लेकिन वैसे भी-umm, इस पुस्तक के बारे में क्या है?"
neutral,"क्षमा करें, मैं कर सकता हूँ, मैं इन में से एक बुम कर सकता हूँ?"
neutral,"तुम्हें पता है क्या, वास्तव में... ठीक है, ठीक है, ठीक है, यहाँ इतना हास्यास्पद है?"
surprise,मैंने सोचा था कि आप धूम्रपान नहीं करते।
neutral,"ओह, मैंने सोचा था कि आप लोग मरूआना सिगरेटों का मतलब रखते हैं, आप जानते हैं?"
neutral,"तुम्हें पता है, क्या मैं मतलब है, दोपों की तरह?"
surprise,"और मैं वास्तव में, मैं अपने आप के लिए सोचा, ""Wow, वे लोग पागल हैं!"""
neutral,"लेकिन नहीं, मैं वास्तव में नियमित एक हमेशा, हमेशा धूम्रपान करता हूँ।"
neutral,हम उच्च हो जाते हैं।
neutral,"ओह, मैं भी।"
neutral,मैं मजाक कर रहा हूँ।
joy,"ओह, मैं भी।"
sadness,"ओह, आप निश्चित हैं कि आप ठीक हैं?"
sadness,यह अभी भी दुखता है?
sadness,हाँ.
joy,क्या अच्छा विचार है. आप सभी कपड़े मिलते हैं. मैं यह करने के लिए जा रहा हूँ.
neutral,"अरे, कैसे हुआ?"
joy,उत्कृष्ट है।
joy,हमने उस जोड़े को टुकड़े-टुकड़े कर डाला और टुकड़े अपने लिए रख दिये।
joy,"क्या एक सुंदर कहानी. अरे, मैं वैसे ही ठीक हूँ."
neutral,आप क्या जानते हैं? आप सही है. मैं
joy,तुम्हारे लिए अच्छा है फीब्स!
neutral,ठीक है।
neutral,"ठीक है अगर आप लोग वहाँ भी माइक्रोफ़ोन है, मैं मतलब नहीं था"
anger,यह गन्दगी है! मैं नहीं जानता था कि मैं इस मूर्ख नींद क्लिनिक में जाने से पहले रात भर जागना था! मैं बहुत थक गया हूँ!
neutral,6:00 है।
neutral,"हाँ, राच, मुझे लगता है कि तुम उस पर अच्छी तरह से काम कर रहे हैं।"
neutral,इसे संभालना?
joy,"आप क्या मतलब है, इसे संभालना?"
joy,उसे संभालने के लिए कुछ नहीं है।
neutral,"अब, शायद मैं इस के साथ एक समस्या है अगर यह मेरे लिए और जोशूआ के लिए नहीं होता।"
anger,"पता है, वे वैसे भी शादी नहीं कर रहे हैं!"
anger,चलो!
disgust,वे इस बात में इतनी तेजी से यह हास्यास्पद है तेजी से चला गया!
neutral,"और रास्ते में कहीं-कहीं, उनमें से एक उन्हें क्या किया है समझने के लिए जा रहा है और वे पूरी बात को बंद कर रहे हैं."
joy,"मैं तुम्हें कह रहा हूँ, तुम मेरी शादी में नाचने के लिए जा रहे हैं तुम वहाँ नाचने से पहले कर रहे हैं."
surprise,यह क्या है?
anger,"क्या, तुम वास्तव में सोचा था कि यह मुझे बेहतर महसूस करता है मुझे चीजें कि मैं एक और दो महीनों के लिए उपयोग नहीं कर सकता मुझे देने के लिए!"
anger,यह शून्य है!
neutral,"ठीक है, मेरा अगला उपहार क्या है?"
neutral,"ठीक है, एक परमाणु नरसंहार है, मैं पृथ्वी पर अंतिम आदमी हूँ. आप मेरे साथ बाहर जा सकते हैं?"
neutral,एनएच
neutral,मेरे पास डिब्बेदार सामान हैं।
surprise,"Hey, आप लोग! इस पर एक नज़र रखना! इस बच्चे को बाहर जाँचें, मुझे एक छिद्र खो दिया!"
neutral,"उत्कृष्ट छेद, जो।"
surprise,ओह नहीं! नहीं! मेरा छेद!
disgust,ओह! ओह!
surprise,क्या! क्या! यह क्या है!
neutral,मेरा पीना?
neutral,"ओह, मैंने कहा होगा कि तुम चले जाने के बाद।"
fear,क्या कहा? ठीक है.
neutral,कि आप कभी-कभी पीने का आनंद उठाते थे।
disgust,"ओह मेरे भगवान!! ओह, यह है! मैं जा रहा हूँ! तुम सिर्फ एक भयानक व्यक्ति हो!"
fear,चलो चलो चलो चलो चलो चलो चलो चलो!!
anger,अगर आप इसके बारे में सभी संवेदनशील हो जाना चाहते हैं!
sadness,मैं आप को खोना नहीं चाहता।
neutral,"अगर मैं, आपके लिए एक स्थिति बनाता हूँ?"
neutral,मैं आपको इस विभाग में एक सहायक खरीदार बना दूँगा।
joy,और ऐसी बातें कहें।
joy,"आप अपना दफ्तर कर सकते हैं, और एक raise! प्रभावी कल."
neutral,मुझे एक खर्च खाता की जरूरत होगी।
joy,हो गया!
neutral,और एक सहायक।
joy,"सोफी, यहाँ आ जाओ!"
joy,मोनिका? तुम मेरे बारे में बहुत गर्व होना जा रहा है. मैं सिर्फ हमें दो अविश्वसनीय रूप से प्यारे नर्सों के साथ डेट मिला.
surprise,ओह मेरी!
neutral,वे नर नर्स हैं।
neutral,मेरे दिमाग में नहीं।
joy,"वैसे भी, वे हमें शनिवार की रात बाहर ले जाना चाहते हैं! आप क्या कहते हैं?"
joy,हं. हं. हं. मुझे ऐसा नहीं लगता.
surprise,आप क्या बात कर रहे हैं!
anger,तुम-तुम एक है जो मुझे रोस को पार करने और आगे बढ़ने के लिए कह रहा है.
neutral,"मैं आगे बढ़ रहा हूँ, और आप मेरे साथ आगे बढ़ रहे हैं।"
neutral,"चलो, मुझे एक अच्छा कारण दीजिए कि तुम क्यों नहीं जाना चाहते।"
neutral,"हं, तुम क्यों नहीं देते"
neutral,यह ध्वनि से अधिक कठिन है. यह नहीं है?
neutral,"ठीक है, आप मेरे साथ आ रहे हैं, और मैं भी उन्हें बताया कि अगर हम अभी भी यहाँ हैं जब वे उतरते हैं कि हम कॉफीटीरिया में जाकर कुछ खाने के लिए जाओगे"
neutral,हाँ! हमेशा के लिए जगह है
neutral,"जोए, आप कैसे बनाते हैं"
neutral,"ओह, यह आसान है. हाँ, मैं-मैं इसे किसी भी चीज़ के साथ कर सकता हूँ. देखो uh, दादाओं की चिकन सलाड"
neutral,"हालो, यह मोनिका है..."
neutral,हाँ??
neutral,ओह...
neutral,"ठीक है, हाँ, हम सही हो जाएगा, हम सही नीचे हो जाएगा।"
neutral,ठीक है. चलो इसे अंदर लाएँ.
neutral,"प्रतीक्षा नहीं, प्यारे, प्यारे इसे मेरे पास डालें, इसे मेरे पास डालें।"
anger,इसने मुझे चेहरे पर झटकाया।
neutral,"अच्छा, अगर जादूगर मेरे बियर को अपने चेहरों से खोल सकता है, तो ठीक है।"
joy,Hey!
joy,पता है मैं-मैं वास्तव में खुशी हूँ हम शादी से पहले एक साथ नहीं सोने का निर्णय किया है।
joy,"अरे, मैं भी!"
neutral,मैं सोच रहा था कि अगर हम एक... एक बड़ा लड़का था और uh हम कुछ घंटे के लिए टूट गया था
fear,हो?
neutral,"तकनीकी रूप से हम फिर से सेक्स कर सकते हैं. आप क्या सोचते हैं, bossy और प्रभुत्वशाली?!"
anger,"शादी बंद हो गई है, बेवकूफ और अपरिपक्व!"
joy,यह मैं हूँ! चलो!
neutral,"ठीक है. लेकिन प्रतीक्षा करें, हम नहीं कर सकते. मेरी cousin Cassie अतिथि कक्ष में है, हम दोपहर का भोजन करने के लिए किया जाना है."
neutral,"अच्छी तरह से, उससे छुटकारा पाने के लिए, obsessive और कटु।"
anger,श्रील! शादी वापस है!
neutral,मैंने सोचा था कि मैंने आवाजें सुनी हैं. तुम चंडलर होना चाहिए.
joy,हाय! आप से मिलना बहुत अच्छा है!
neutral,आप से भी मिलना अच्छा है।
neutral,"तो, आप जाने के लिए तैयार हैं?"
anger,चंडलर!
neutral,मैं आप के साथ सही हो जाएगा।
neutral,"यह सब है, एक तीसरा निप्पल."
neutral,सिर्फ अपने रन-of-the-Mill तीसरा निप्पल।
neutral,आप इसे उतार सकते हैं।
fear,बस उस बच्चे को काट डालो!
neutral,"अपना कुर्ता उतारो, और चलो देखते हैं हम यहाँ क्या कर रहे हैं. आप क्या कर रहे हैं?"
neutral,सिर्फ आपको मेरा रन-of-the-mill-slice-it-right-off तीसरा निप्पल दिखा रहा है।
neutral,ठीक है कि एक तीसरा निप्पल नहीं है।
surprise,नहीं?
neutral,"सबसे पहले, यह आपके गले पर है।"
surprise,"अच्छा तो, यह क्या है?"
neutral,"एक मिनट रुको, इसे पकड़. जॉनसन! आप एक क्षण यहाँ आओगे?"
neutral,मैं हैमिल्टन के साथ हूँ!
neutral,"वह पीछे की चीज़ों के साथ अच्छा है, उसे भी लाओ।"
joy,"हं, यह बहुत अच्छा शराब है।"
neutral,"यह फ्रांस से है... यूरोप में... पश्चिमी यूरोप. आप जानते हैं हं, कुछ साल पहले मैं वास्तव में पश्चिमी यूरोप में बैक पैकिंग कर रहा था."
joy,"उह-हम्-अच्छा! यह बेहतर हो जाता है. हं, हाँ मैं बार्सिलोना में था."
neutral,मैं एक साल बार्सिलोना में पढ़ा।
neutral,"वैसे भी, umm तो मैं था, मैं सैर कर रहा था"
joy,मैं सैर करना पसंद करता हूँ!
joy,"ओह, यह बहुत अच्छा है! मैं टीबिडाइबो पर्वत के नीचे चढ़ाई कर रहा था"
surprise,"तो? आप दोनों की बधाई, मुझे पता भी नहीं था कि आप शादी हुई."
joy,ओह हमने नहीं किया।
fear,नहीं नहीं. हम
neutral,"हम सिर्फ इस बच्चे को एक साथ रख रहे हैं लेकिन है, है कि सब है."
surprise,क्यों?!!
neutral,"हम बस उस जगह में नहीं हैं, पता है? लेकिन हम इस के बारे में बहुत उत्साहित हैं."
neutral,"ओह, अच्छा तो मुझे बंद कर दो।"
neutral,बस मुझे बताओ कैसे।
fear,"Uh-oh, मैं एक और आने वाला महसूस करता हूँ।"
neutral,"इसे छोड़ दो, रोस."
neutral,"हाँ, अच्छी तरह से, तुम चि चि नहीं जानते थे।"
neutral,क्या आप सभी वादा कर रहे हैं?
neutral,चंडलर? क्या आप अच्छे होने का वादा करते हैं?
joy,"आप अंदर आ सकते हैं, लेकिन आपके फिल्टर-टाइप छोटे दोस्त बाहर रहना है!"
neutral,"हे, फीब्स."
neutral,प्रिय सुश्री बुफै।
neutral,आप हमारी गलती पर ध्यान देने के लिए धन्यवाद।
neutral,हमने आपके खाते में पांच सौ डॉलर जमा कर दिए हैं।
neutral,"हम परेशानी के लिए क्षमा करें, और उम्मीद है कि आप इसे स्वीकार करेंगे--"
neutral,"ओह मेरे भगवान, प्यारे हम एक साथ होना चाहते हैं. हम दोनों की प्रतियां है"
neutral,"प्यारे, तुम्हारी दोनों।"
joy,Hey! उस Joey बात पर महान सलाह!
neutral,हाँ? कार्य समस्या?
joy,ओह यह पूर्ण था! मेरा मतलब यह सचमुच लगता था कि वह फिर से मेरे दोस्त था।
neutral,तुमने उसे बताया कि आपके पास क्या समस्या है?
neutral,"ओह, यह महत्वपूर्ण नहीं है. मुद्दा है, मैं वास्तव में-मैं सोचता हूँ कि सब कुछ ठीक हो जाएगा."
neutral,"ठीक है, मेरे पास कुछ Ones है, आप उन्हें उसके जूते में डालना चाहते हैं?"
disgust,"धन्यवाद नहीं, माँ!"
anger,"हा-हा, यह मेरा बच्चा नहीं है, हा-हा-हा!"
joy,"बहुत अच्छा, बहुत अच्छा।"
joy,"मैं सचमुच, सचमुच इसका आनंद उठा। बहुत ही अलौकिक।"
sadness,"ठीक है, मैं सिर्फ हमारे संदेशों की जाँच की और जोशुअ ने फोन नहीं किया."
sadness,"मेरा मतलब है, आप सोचेंगे कि वह मुझे अपने क्लब में नहीं दिखाने के बारे में चिंता करता है।"
sadness,"ओह, आप जानते हैं क्या यह इतना बुरा करता है, रोस वेर्मेंट में सभी खुश है!"
joy,चलो! देखो तुम कहाँ हो!
neutral,"जब आप एक सेकंड मिलता है, डेकीरिस का एक और दौर।"
neutral,"याद रखें, मेरे लिए एक कन्या।"
neutral,ओह! और मुझे उस गाढ़े के आदमी का नाम पाने के बिना छोड़ने नहीं दो।
neutral,"आह, चलो! पता है क्या- पता है क्या, मैं बस घर जा रहा हूँ और Kathy फोन करने के लिए जा रहा हूँ लगता है।"
neutral,"अच्छा, अगर आप सोचते हैं कि यह मदद करेगा।"
anger,नहीं!
fear,यह एक परीक्षा थी!
fear,कुछ घंटों में मैं वास्तव में शराब पीने के लिए जा रहा हूँ और Kathy फोन करना चाहता हूँ और तुम लोगों को मुझे रोकने के लिए जा रहे हैं!
fear,"और फिर उसके बाद, मैं जा रहा हूँ इतना मतवाला हो, मैं जा रहा हूँ जानिस फोन करना चाहता हूँ"
surprise,तुम्हें चाहिए! वह कैसे है?
anger,ओह!
joy,मुझे लगता है कि किसी को एक और कूच नृत्य की जरूरत है।
neutral,"ठीक है, मैं निश्चित रूप से नाटमेग का स्वाद है।"
surprise,क्या आप जानते हैं?
surprise,"आप नहीं करते? अच्छी तरह से, एक पेशेवर और एक निष्ठावान के बीच अंतर है।"
anger,यह और अहंकार।
joy,अरे! नौका चलाना कैसा था?
joy,वाह धन्यवाद!
fear,जो?
neutral,"Uh, तुम बहुत से सेक्स किया है सही है?"
surprise,"कब? आज? कुछ, बहुत नहीं।"
fear,"ठीक है, यह सिर्फ कारण है कि मैं पूछ रहा हूँ है क्योंकि मैं तरह की है, uh, मैं करने में असमर्थ था-मैं वास्तव में चाहता था, लेकिन मैं नहीं कर सका मतलब है कि मैं नहीं कर सका..."
fear,"वहाँ है-हम्म, वहाँ-एक घटना थी।"
neutral,"उस आदमी के बारे में चिंता मत करो, ऐसा होता है।"
surprise,यह तुम्हारे साथ हुआ है?
neutral,"हाँ, एक बार।"
surprise,"अच्छा, तुम क्या करते थे?"
neutral,मैं भी ऐसा किया था।
